191105_1150,1,globals,Period,NumPeriods,RepeatTreatment,AuctionStop,AuctionNoStop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191105_1150,1,globals,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191105_1150,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,TimeTOVBB1DiaUdvozles1OK,IDnumber,TimeTOVBB1diaAzonositoMegadasaOK,kezeles,kor,nem,TimeTOVBB2DiaAdatokOK,TimeTOVBB3DiaKockadobasOK,TimeTOVBB4DiaAJatekMeneteOK,TimeTOVBB5DiaANyeremenyOK,honest,dobas,dobas_proba,tovabb,double,TimeTOVBB6DiaGyakorloDobasok1aOK,win,TimeTOVBB7DiaGyakorloDobasok1bOK,TimeTOVBB8DiaGyakorloDobasok2aOK,TimeTOVBB9DiaGyakorloDobasok2bOK,TimeTOVBB6DiaGyakorloDobasok3aOK,TimeTOVBB7DiaGyakorloDobasok3bOK,TimeTOVBB8DiaGyakorloDobasok4aOK,TimeTOVBB7DiaGyakorloDobasok4bOK,TimeTOVBB8DiaGyakorloDobasok5aOK,TimeTOVBB7DiaGyakorloDobasok5bOK,TimeKEZDS11DiaAJatekKezdeteOK,dobas1,double1,dishonestdist,dishonest0,dishonest1,TimeTOVBB13DiaDobasNyeremenyert1bOK,win1,TimeTOVBB14DiaDobasNyeremenyert1cOK,dobas2,double2,dishonest2,TimeTOVBB13DiaDobasNyeremenyert2bujOK,win2,TimeTOVBB14DiaDobasNyeremenyert2cujOK,dobas3,double3,dishonest3,TimeTOVBB19DiaDobasNyeremenyert3bOK,win3,TimeTOVBB20DiaDobasNyeremenyert3cOK,dobas4,double4,dishonest4,TimeTOVBB19DiaDobasNyeremenyert4bOK,win4,TimeTOVBB20DiaDobasNyeremenyert4cOK,dobas5,double5,dishonest5,TimeTOVBB19DiaDobasNyeremenyert5bOK,win5,TimeTOVBB20DiaDobasNyeremenyert5cOK,dobas6,double6,dishonest6,TimeTOVBB19DiaDobasNyeremenyert6bOK,win6,TimeTOVBB20DiaDobasNyeremenyert6cOK,dobas7,double7,dishonest7,TimeTOVBB19DiaDobasNyeremenyert7bOK,win7,TimeTOVBB20DiaDobasNyeremenyert7cOK,dobas8,double8,dishonest8,TimeTOVBB19DiaDobasNyeremenyert8bOK,win8,TimeTOVBB20DiaDobasNyeremenyert8cOK,dobas9,double9,dishonest9,TimeTOVBB19DiaDobasNyeremenyert9bOK,win9,TimeTOVBB20DiaDobasNyeremenyert9cOK,dobas10,double10,dishonest10,TimeTOVBB19DiaDobasNyeremenyert10bOK,win10,TimeTOVBB20DiaDobasNyeremenyert10cOK,dobas11,double11,dishonest11,TimeTOVBB19DiaDobasNyeremenyert11bOK,win11,TimeTOVBB20DiaDobasNyeremenyert11cOK,dobas12,double12,dishonest12,TimeTOVBB19DiaDobasNyeremenyert12bOK,win12,TimeTOVBB20DiaDobasNyeremenyert12cOK,dobas13,double13,dishonest13,TimeTOVBB19DiaDobasNyeremenyert13bOK,win13,TimeTOVBB20DiaDobasNyeremenyert13cOK,dobas14,double14,dishonest14,TimeTOVBB19DiaDobasNyeremenyert14bOK,win14,TimeTOVBB20DiaDobasNyeremenyert14cOK,dobas15,double15,dishonest15,TimeTOVBB19DiaDobasNyeremenyert15bOK,win15,TimeTOVBB20DiaDobasNyeremenyert15cOK,dobas16,double16,dishonest16,TimeTOVBB19DiaDobasNyeremenyert16bOK,win16,TimeTOVBB20DiaDobasNyeremenyert16cOK,dobas17,double17,dishonest17,TimeTOVBB19DiaDobasNyeremenyert17bOK,win17,TimeTOVBB20DiaDobasNyeremenyert17cOK,dobas18,double18,dishonest18,TimeTOVBB19DiaDobasNyeremenyert18bOK,win18,TimeTOVBB20DiaDobasNyeremenyert18cOK,dobas19,double19,dishonest19,TimeTOVBB19DiaDobasNyeremenyert19bOK,win19,TimeTOVBB20DiaDobasNyeremenyert19cOK,dobas20,double20,dishonest20,TimeTOVBB19DiaDobasNyeremenyert20bOK,win20,TimeTOVBB20DiaDobasNyeremenyert20cOK,TimeTOVBB27DiaAGepKisorsoljaANyeremenytOK,nyeremeny_sorszam,nyeremeny,LeaveStage
191105_1150,1,subjects,1,1,1,0,0,1,-582,5775,20,dishonest_nocharity,20,1,86,-62,-26,-13,4,5,5,-1,1,-2,1500,15,13,24,25,29,17,28,27,30,48,6,1,368,6,6,10,1800,25,5,0,4,16,0,27,3,0,6,16,0,28,6,1,6,26,1800,28,4,0,1,15,0,29,3,0,6,21,0,30,3,0,2,23,0,28,1,0,6,21,0,28,6,1,6,15,1800,29,2,0,5,22,0,29,4,0,6,15,0,29,2,1,2,21,600,29,3,0,2,24,0,29,6,1,6,18,1800,27,5,1,5,21,1500,28,6,0,5,20,0,30,6,0,4,22,0,29,1,0,5,21,0,29,2,0,6,23,0,29,5,0,6,21,0,29,7,10,0,0
191105_1150,1,summary,Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191105_1150,1,summary,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191105_1150,1,contracts,Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191105_1150,1,session,Subject,FinalProfit,ShowUpFee,ShowUpFeeInvested,MoneyAdded,MoneyToPay,MoneyEarned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191105_1150,1,session,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191105_1150,1,logfile,Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
