Session;Period;Subject;myTreatment;myGroup;myGroup2;myGroupType;dec-01;dec-02
160609_1347;0;1;2;1;1;1;5;0
160609_1347;0;2;2;2;3;2;3;2
160609_1347;0;3;9;3;1;2;1;3
160609_1347;0;4;9;2;3;2;2;5
160609_1347;0;5;2;1;2;2;5;5
160609_1347;0;6;2;3;3;1;5;0
160609_1347;0;7;9;1;1;1;3;0
160609_1347;0;8;9;3;3;1;1;0
160609_1347;0;9;2;3;4;2;5;6
160609_1347;0;10;2;2;2;1;3;0
160609_1347;0;11;9;2;2;1;2;0
160609_1347;0;12;9;1;2;2;3;6
160609_1347;0;13;2;4;1;2;1;5
160609_1347;0;14;2;4;4;1;1;0
160609_1347;1;1;2;1;1;1;3;0
160609_1347;1;2;2;2;3;2;4;1
160609_1347;1;3;9;3;1;2;5;5
160609_1347;1;4;9;2;3;2;5;5
160609_1347;1;5;2;1;2;2;5;5
160609_1347;1;6;2;3;3;1;4;0
160609_1347;1;7;9;1;1;1;5;0
160609_1347;1;8;9;3;3;1;5;0
160609_1347;1;9;2;3;4;2;5;1
160609_1347;1;10;2;2;2;1;5;0
160609_1347;1;11;9;2;2;1;6;0
160609_1347;1;12;9;1;2;2;6;5
160609_1347;1;13;2;4;1;2;3;4
160609_1347;1;14;2;4;4;1;5;0
160609_1347;2;1;2;1;1;1;5;0
160609_1347;2;2;2;2;3;2;3;6
160609_1347;2;3;9;3;1;2;1;2
160609_1347;2;4;9;2;3;2;3;3
160609_1347;2;5;2;1;2;2;5;4
160609_1347;2;6;2;3;3;1;3;0
160609_1347;2;7;9;1;1;1;1;0
160609_1347;2;8;9;3;3;1;3;0
160609_1347;2;9;2;3;4;2;4;5
160609_1347;2;10;2;2;2;1;5;0
160609_1347;2;11;9;2;2;1;1;0
160609_1347;2;12;9;1;2;2;1;6
160609_1347;2;13;2;4;1;2;5;5
160609_1347;2;14;2;4;4;1;4;0
160609_1347;3;1;2;1;1;1;4;0
160609_1347;3;2;2;2;3;2;6;3
160609_1347;3;3;9;3;1;2;3;3
160609_1347;3;4;9;2;3;2;5;5
160609_1347;3;5;2;1;2;2;3;1
160609_1347;3;6;2;3;3;1;6;0
160609_1347;3;7;9;1;1;1;3;0
160609_1347;3;8;9;3;3;1;5;0
160609_1347;3;9;2;3;4;2;1;1
160609_1347;3;10;2;2;2;1;3;0
160609_1347;3;11;9;2;2;1;5;0
160609_1347;3;12;9;1;2;2;5;6
160609_1347;3;13;2;4;1;2;4;2
160609_1347;3;14;2;4;4;1;1;0
