",""DyadID"",""Period"",""double"",""Treatment_name"""
"980,11,8,0,""aLow"""
"985,11,9,1,""aLow"""
"984,11,10,1,""aLow"""
"978,11,11,1,""aLow"""
"987,11,12,1,""aLow"""
"986,11,13,1,""aLow"""
"974,11,14,1,""aLow"""
"983,11,15,0,""aLow"""
"970,11,16,0,""aLow"""
"971,11,17,1,""aLow"""
"979,11,18,1,""aLow"""
"977,11,19,1,""aLow"""
"982,11,20,0,""aLow"""
"1718,12,1,0,""aLow"""
"1702,12,2,1,""aLow"""
"1703,12,3,0,""aLow"""
"1708,12,4,0,""aLow"""
"1704,12,5,1,""aLow"""
"1710,12,6,0,""aLow"""
"1717,12,7,0,""aLow"""
"1707,12,8,1,""aLow"""
"1705,12,9,0,""aLow"""
"1712,12,10,0,""aLow"""
"1706,12,11,1,""aLow"""
"1709,12,12,1,""aLow"""
"1716,12,13,0,""aLow"""
"1719,12,14,1,""aLow"""
"1713,12,15,1,""aLow"""
"1720,12,16,0,""aLow"""
"1714,12,17,0,""aLow"""
"1721,12,18,1,""aLow"""
"1715,12,19,0,""aLow"""
"1722,12,20,0,""aLow"""
"115,13,1,0,""aLow"""
"125,13,2,0,""aLow"""
"119,13,3,1,""aLow"""
"121,13,4,0,""aLow"""
"123,13,5,1,""aLow"""
"120,13,6,0,""aLow"""
"126,13,7,0,""aLow"""
"109,13,8,1,""aLow"""
"110,13,9,0,""aLow"""
"114,13,10,0,""aLow"""
"108,13,11,0,""aLow"""
"118,13,12,1,""aLow"""
"112,13,13,0,""aLow"""
"113,13,14,1,""aLow"""
"116,13,15,0,""aLow"""
"117,13,16,0,""aLow"""
"111,13,17,0,""aLow"""
"124,13,18,0,""aLow"""
"106,13,19,0,""aLow"""
"107,13,20,0,""aLow"""
"743,14,1,0,""aLow"""
"744,14,2,0,""aLow"""
"736,14,3,1,""aLow"""
"745,14,4,0,""aLow"""
"746,14,5,1,""aLow"""
"737,14,6,1,""aLow"""
"747,14,7,0,""aLow"""
"748,14,8,1,""aLow"""
"738,14,9,0,""aLow"""
"749,14,10,1,""aLow"""
"750,14,11,1,""aLow"""
"739,14,12,0,""aLow"""
"751,14,13,1,""aLow"""
"752,14,14,1,""aLow"""
"740,14,15,0,""aLow"""
"753,14,16,0,""aLow"""
"754,14,17,0,""aLow"""
"741,14,18,1,""aLow"""
"755,14,19,0,""aLow"""
"756,14,20,1,""aLow"""
"1158,15,1,0,""aLow"""
"1156,15,2,1,""aLow"""
"1162,15,3,0,""aLow"""
"1163,15,4,0,""aLow"""
"1170,15,5,0,""aLow"""
"1175,15,6,0,""aLow"""
"1171,15,7,0,""aLow"""
"1173,15,8,1,""aLow"""
"1176,15,9,0,""aLow"""
"1161,15,10,1,""aLow"""
"1159,15,11,0,""aLow"""
"1168,15,12,0,""aLow"""
"1166,15,13,1,""aLow"""
"1157,15,14,0,""aLow"""
"1164,15,15,1,""aLow"""
"1167,15,16,0,""aLow"""
"1172,15,17,0,""aLow"""
"1165,15,18,0,""aLow"""
"1174,15,19,0,""aLow"""
"1169,15,20,0,""aLow"""
"1467,16,1,1,""aLow"""
"1454,16,2,0,""aLow"""
"1456,16,3,0,""aLow"""
"1451,16,4,1,""aLow"""
"1457,16,5,0,""aLow"""
"1450,16,6,0,""aLow"""
"1452,16,7,1,""aLow"""
"1461,16,8,0,""aLow"""
"1455,16,9,0,""aLow"""
"1458,16,10,1,""aLow"""
"1468,16,11,0,""aLow"""
"1460,16,12,0,""aLow"""
"1469,16,13,0,""aLow"""
"1470,16,14,0,""aLow"""
"1466,16,15,0,""aLow"""
"1464,16,16,0,""aLow"""
"1459,16,17,1,""aLow"""
"1462,16,18,0,""aLow"""
"1453,16,19,0,""aLow"""
"1463,16,20,0,""aLow"""
"357,17,1,0,""aLow"""
"339,17,2,1,""aLow"""
"352,17,3,1,""aLow"""
"346,17,4,0,""aLow"""
"347,17,5,0,""aLow"""
"350,17,6,0,""aLow"""
"351,17,7,0,""aLow"""
"345,17,8,0,""aLow"""
"355,17,9,1,""aLow"""
"349,17,10,1,""aLow"""
"353,17,11,0,""aLow"""
"354,17,12,1,""aLow"""
"337,17,13,0,""aLow"""
"343,17,14,0,""aLow"""
"340,17,15,0,""aLow"""
"342,17,16,0,""aLow"""
"344,17,17,0,""aLow"""
"338,17,18,0,""aLow"""
"348,17,19,0,""aLow"""
"341,17,20,0,""aLow"""
"1069,18,1,1,""aLow"""
"1066,18,2,0,""aLow"""
"1067,18,3,1,""aLow"""
"1068,18,4,1,""aLow"""
"1052,18,5,1,""aLow"""
"1057,18,6,1,""aLow"""
"1055,18,7,1,""aLow"""
"1051,18,8,1,""aLow"""
"1054,18,9,1,""aLow"""
"1053,18,10,1,""aLow"""
"1061,18,11,1,""aLow"""
"1062,18,12,1,""aLow"""
"1060,18,13,1,""aLow"""
"1058,18,14,1,""aLow"""
"1063,18,15,1,""aLow"""
"1065,18,16,1,""aLow"""
"1070,18,17,1,""aLow"""
"1071,18,18,1,""aLow"""
"1059,18,19,1,""aLow"""
"1056,18,20,1,""aLow"""
"1624,19,1,0,""aLow"""
"1622,19,2,0,""aLow"""
"1618,19,3,0,""aLow"""
"1623,19,4,0,""aLow"""
"1626,19,5,0,""aLow"""
"1620,19,6,1,""aLow"""
"1619,19,7,0,""aLow"""
"1634,19,8,0,""aLow"""
"1628,19,9,1,""aLow"""
"1635,19,10,0,""aLow"""
"1637,19,11,0,""aLow"""
"1636,19,12,1,""aLow"""
"1630,19,13,0,""aLow"""
