DyadID;Period;double;total_doubles
1;1;0;0
1;2;0;0
1;3;0;0
1;4;0;0
1;5;0;0
1;6;0;0
1;7;0;0
1;8;0;0
1;9;0;0
1;10;0;0
1;11;0;0
1;12;0;0
1;13;0;0
1;14;0;0
1;15;0;0
1;16;0;0
1;17;0;0
1;18;1;1
1;19;0;1
1;20;0;1
2;1;0;0
2;2;0;0
2;3;1;1
2;4;0;1
2;5;0;1
2;6;0;1
2;7;1;2
2;8;0;2
2;9;0;2
2;10;0;2
2;11;0;2
2;12;1;3
2;13;0;3
2;14;0;3
2;15;0;3
2;16;0;3
2;17;0;3
2;18;0;3
2;19;0;3
2;20;0;3
3;1;0;0
3;2;1;1
3;3;0;1
3;4;0;1
3;5;0;1
3;6;0;1
3;7;0;1
3;8;0;1
3;9;0;1
3;10;1;2
3;11;0;2
3;12;0;2
3;13;0;2
3;14;0;2
3;15;1;3
3;16;0;3
3;17;0;3
3;18;1;4
3;19;1;5
3;20;0;5
4;1;0;0
4;2;1;1
4;3;0;1
4;4;0;1
4;5;0;1
4;6;0;1
4;7;0;1
4;8;0;1
4;9;0;1
4;10;0;1
4;11;0;1
4;12;0;1
4;13;0;1
4;14;1;2
4;15;0;2
4;16;0;2
4;17;0;2
4;18;1;3
4;19;0;3
4;20;0;3
5;1;1;1
5;2;0;1
5;3;0;1
5;4;1;2
5;5;1;3
5;6;0;3
5;7;0;3
5;8;1;4
5;9;0;4
5;10;0;4
5;11;0;4
5;12;1;5
5;13;0;5
5;14;0;5
5;15;1;6
5;16;0;6
5;17;0;6
5;18;1;7
5;19;0;7
5;20;0;7
6;1;0;0
6;2;0;0
6;3;0;0
6;4;1;1
6;5;0;1
6;6;0;1
6;7;0;1
6;8;0;1
6;9;0;1
6;10;0;1
6;11;1;2
6;12;0;2
6;13;0;2
6;14;0;2
6;15;0;2
6;16;0;2
6;17;0;2
6;18;0;2
6;19;1;3
6;20;0;3
7;1;0;0
7;2;0;0
7;3;1;1
7;4;0;1
7;5;1;2
7;6;1;3
7;7;0;3
7;8;1;4
7;9;0;4
7;10;0;4
7;11;1;5
7;12;0;5
7;13;0;5
7;14;0;5
7;15;0;5
7;16;1;6
7;17;0;6
7;18;0;6
7;19;0;6
7;20;1;7
8;1;0;0
8;2;0;0
8;3;0;0
8;4;0;0
8;5;0;0
8;6;0;0
8;7;1;1
8;8;1;2
8;9;0;2
8;10;0;2
8;11;0;2
8;12;0;2
8;13;1;3
8;14;0;3
8;15;0;3
8;16;0;3
8;17;0;3
8;18;0;3
8;19;0;3
8;20;0;3
9;1;1;1
9;2;1;2
9;3;0;2
9;4;0;2
9;5;0;2
9;6;0;2
9;7;1;3
9;8;0;3
9;9;0;3
9;10;1;4
9;11;0;4
9;12;1;5
9;13;1;6
9;14;1;7
9;15;1;8
9;16;0;8
9;17;1;9
9;18;0;9
9;19;0;9
9;20;0;9
10;1;0;0
10;2;0;0
10;3;0;0
10;4;1;1
10;5;0;1
10;6;1;2
10;7;1;3
10;8;0;3
10;9;1;4
10;10;0;4
10;11;0;4
10;12;1;5
10;13;0;5
10;14;0;5
10;15;0;5
10;16;0;5
10;17;1;6
10;18;1;7
10;19;1;8
10;20;0;8
11;1;1;1
11;2;1;2
11;3;0;2
11;4;1;3
11;5;0;3
11;6;0;3
11;7;0;3
11;8;1;4
11;9;1;5
11;10;0;5
11;11;0;5
11;12;0;5
11;13;0;5
11;14;0;5
11;15;1;6
11;16;0;6
11;17;0;6
11;18;0;6
11;19;0;6
11;20;0;6
12;1;0;0
12;2;1;1
12;3;0;1
12;4;0;1
12;5;0;1
12;6;0;1
12;7;0;1
12;8;0;1
12;9;0;1
12;10;0;1
12;11;0;1
12;12;0;1
12;13;0;1
12;14;0;1
12;15;0;1
12;16;0;1
12;17;0;1
12;18;0;1
12;19;1;2
12;20;1;3
13;1;1;1
13;2;1;2
13;3;1;3
13;4;1;4
13;5;1;5
13;6;1;6
13;7;1;7
13;8;1;8
13;9;1;9
13;10;1;10
13;11;1;11
13;12;1;12
13;13;1;13
13;14;1;14
13;15;1;15
13;16;1;16
13;17;1;17
13;18;1;18
13;19;1;19
13;20;1;20
14;1;0;0
14;2;0;0
14;3;0;0
14;4;0;0
14;5;0;0
14;6;1;1
14;7;1;2
14;8;1;3
14;9;0;3
14;10;0;3
14;11;0;3
14;12;0;3
14;13;1;4
14;14;1;5
14;15;0;5
14;16;0;5
14;17;0;5
14;18;0;5
14;19;0;5
14;20;0;5
15;1;0;0
15;2;1;1
15;3;0;1
15;4;1;2
15;5;0;2
15;6;0;2
15;7;1;3
15;8;0;3
15;9;1;4
15;10;0;4
15;11;1;5
15;12;0;5
15;13;0;5
15;14;1;6
15;15;0;6
15;16;0;6
15;17;0;6
15;18;0;6
15;19;0;6
15;20;1;7
16;1;1;1
16;2;0;1
16;3;0;1
16;4;0;1
16;5;1;2
16;6;1;3
16;7;1;4
16;8;0;4
16;9;1;5
16;10;0;5
16;11;0;5
16;12;1;6
16;13;0;6
16;14;1;7
16;15;0;7
16;16;1;8
16;17;0;8
16;18;0;8
16;19;0;8
16;20;1;9
17;1;0;0
17;2;1;1
17;3;0;1
17;4;0;1
17;5;1;2
17;6;0;2
17;7;1;3
17;8;0;3
17;9;1;4
17;10;0;4
17;11;0;4
17;12;1;5
17;13;0;5
17;14;0;5
17;15;1;6
17;16;1;7
17;17;0;7
17;18;0;7
17;19;0;7
17;20;0;7
18;1;0;0
18;2;0;0
18;3;1;1
18;4;0;1
18;5;0;1
18;6;0;1
18;7;0;1
18;8;0;1
18;9;0;1
18;10;0;1
18;11;0;1
18;12;0;1
18;13;0;1
18;14;1;2
18;15;0;2
18;16;0;2
18;17;0;2
18;18;0;2
18;19;0;2
18;20;0;2
19;1;1;1
19;2;0;1
19;3;0;1
19;4;1;2
19;5;0;2
19;6;0;2
19;7;0;2
19;8;0;2
19;9;1;3
19;10;0;3
19;11;1;4
19;12;0;4
19;13;0;4
19;14;0;4
19;15;0;4
19;16;1;5
19;17;0;5
19;18;0;5
19;19;0;5
19;20;1;6
20;1;1;1
20;2;1;2
20;3;0;2
20;4;0;2
20;5;0;2
20;6;1;3
20;7;0;3
20;8;0;3
20;9;0;3
20;10;1;4
20;11;1;5
20;12;0;5
20;13;0;5
20;14;0;5
20;15;0;5
20;16;1;6
20;17;0;6
20;18;0;6
20;19;0;6
20;20;0;6
21;1;0;0
21;2;0;0
21;3;1;1
21;4;0;1
21;5;0;1
21;6;1;2
21;7;1;3
21;8;0;3
21;9;0;3
21;10;0;3
21;11;0;3
21;12;1;4
21;13;0;4
21;14;1;5
21;15;0;5
21;16;0;5
21;17;0;5
21;18;1;6
21;19;0;6
21;20;0;6
22;1;1;1
22;2;0;1
22;3;1;2
22;4;1;3
22;5;0;3
22;6;1;4
22;7;0;4
22;8;1;5
22;9;0;5
22;10;0;5
22;11;0;5
22;12;0;5
22;13;0;5
22;14;0;5
22;15;0;5
22;16;0;5
22;17;0;5
22;18;0;5
22;19;0;5
22;20;0;5
23;1;0;0
23;2;0;0
23;3;0;0
23;4;0;0
23;5;0;0
23;6;0;0
23;7;0;0
23;8;1;1
23;9;0;1
23;10;0;1
23;11;1;2
23;12;0;2
23;13;1;3
23;14;0;3
23;15;0;3
23;16;0;3
23;17;0;3
23;18;1;4
23;19;1;5
23;20;0;5
