Session;Period;Subject;myTreatment;myGroup;myGroup2;myGroupType;dec-01;dec-02
160616_1408;0;1;9;4;4;1;6;0
160616_1408;0;2;9;2;2;1;5;0
160616_1408;0;3;2;1;2;2;2;2
160616_1408;0;4;2;3;4;2;5;1
160616_1408;0;5;9;2;3;2;5;6
160616_1408;0;6;9;5;1;2;4;4
160616_1408;0;7;2;4;5;2;4;2
160616_1408;0;8;2;4;4;1;4;0
160616_1408;0;9;9;3;4;2;6;6
160616_1408;0;10;9;1;2;2;5;5
160616_1408;0;11;2;5;1;2;5;2
160616_1408;0;12;2;2;3;2;1;2
160616_1408;0;13;9;1;1;1;5;0
160616_1408;0;14;9;3;3;1;6;0
160616_1408;0;15;2;2;2;1;1;0
160616_1408;0;16;2;5;5;1;5;0
160616_1408;0;17;9;4;5;2;6;1
160616_1408;0;18;9;5;5;1;4;0
160616_1408;0;19;2;1;1;1;2;0
160616_1408;0;20;2;3;3;1;5;0
160616_1408;1;1;9;4;4;1;6;0
160616_1408;1;2;9;2;2;1;6;0
160616_1408;1;3;2;1;2;2;4;4
160616_1408;1;4;2;3;4;2;1;1
160616_1408;1;5;9;2;3;2;6;6
160616_1408;1;6;9;5;1;2;6;6
160616_1408;1;7;2;4;5;2;6;5
160616_1408;1;8;2;4;4;1;1;0
160616_1408;1;9;9;3;4;2;6;6
160616_1408;1;10;9;1;2;2;6;6
160616_1408;1;11;2;5;1;2;6;4
160616_1408;1;12;2;2;3;2;3;5
160616_1408;1;13;9;1;1;1;6;0
160616_1408;1;14;9;3;3;1;6;0
160616_1408;1;15;2;2;2;1;4;0
160616_1408;1;16;2;5;5;1;6;0
160616_1408;1;17;9;4;5;2;6;3
160616_1408;1;18;9;5;5;1;6;0
160616_1408;1;19;2;1;1;1;6;0
160616_1408;1;20;2;3;3;1;3;0
160616_1408;2;1;9;4;4;1;6;0
160616_1408;2;2;9;2;2;1;6;0
160616_1408;2;3;2;1;2;2;3;2
160616_1408;2;4;2;3;4;2;1;6
160616_1408;2;5;9;2;3;2;6;4
160616_1408;2;6;9;5;1;2;6;6
160616_1408;2;7;2;4;5;2;5;4
160616_1408;2;8;2;4;4;1;1;0
160616_1408;2;9;9;3;4;2;6;6
160616_1408;2;10;9;1;2;2;6;6
160616_1408;2;11;2;5;1;2;4;3
160616_1408;2;12;2;2;3;2;4;4
160616_1408;2;13;9;1;1;1;6;0
160616_1408;2;14;9;3;3;1;6;0
160616_1408;2;15;2;2;2;1;3;0
160616_1408;2;16;2;5;5;1;5;0
160616_1408;2;17;9;4;5;2;3;5
160616_1408;2;18;9;5;5;1;3;0
160616_1408;2;19;2;1;1;1;4;0
160616_1408;2;20;2;3;3;1;4;0
160616_1408;3;1;9;4;4;1;6;0
160616_1408;3;2;9;2;2;1;6;0
160616_1408;3;3;2;1;2;2;2;2
160616_1408;3;4;2;3;4;2;3;5
160616_1408;3;5;9;2;3;2;6;6
160616_1408;3;6;9;5;1;2;1;2
160616_1408;3;7;2;4;5;2;6;1
160616_1408;3;8;2;4;4;1;3;0
160616_1408;3;9;9;3;4;2;6;6
160616_1408;3;10;9;1;2;2;6;6
