Session;Period;Subject;myTreatment;myGroup;myGroup2;myGroupType;dec-01;dec-02
160609_1227;0;1;2;1;1;1;6;0
160609_1227;0;2;2;3;3;1;6;0
160609_1227;0;3;9;2;2;1;6;0
160609_1227;0;4;9;1;2;2;6;6
160609_1227;0;5;2;6;6;1;6;0
160609_1227;0;6;2;4;4;1;5;0
160609_1227;0;7;9;4;4;1;6;0
160609_1227;0;8;9;1;1;1;6;0
160609_1227;0;9;2;4;5;2;5;1
160609_1227;0;10;2;5;6;2;4;2
160609_1227;0;11;9;2;3;2;6;6
160609_1227;0;12;9;5;5;1;6;0
160609_1227;0;13;2;3;4;2;6;6
160609_1227;0;14;2;1;2;2;6;6
160609_1227;0;15;9;3;3;1;5;0
160609_1227;0;16;9;3;4;2;5;4
160609_1227;0;17;2;5;5;1;4;0
160609_1227;0;18;2;6;1;2;6;5
160609_1227;0;19;9;5;1;2;6;6
160609_1227;0;20;9;4;5;2;6;6
160609_1227;0;21;2;2;3;2;2;1
160609_1227;0;22;2;2;2;1;2;0
160609_1227;1;1;2;1;1;1;4;0
160609_1227;1;2;2;3;3;1;5;0
160609_1227;1;3;9;2;2;1;5;0
160609_1227;1;4;9;1;2;2;5;5
160609_1227;1;5;2;6;6;1;3;0
160609_1227;1;6;2;4;4;1;5;0
160609_1227;1;7;9;4;4;1;6;0
160609_1227;1;8;9;1;1;1;6;0
160609_1227;1;9;2;4;5;2;5;3
160609_1227;1;10;2;5;6;2;3;3
160609_1227;1;11;9;2;3;2;4;4
160609_1227;1;12;9;5;5;1;4;0
160609_1227;1;13;2;3;4;2;5;4
160609_1227;1;14;2;1;2;2;3;6
160609_1227;1;15;9;3;3;1;4;0
160609_1227;1;16;9;3;4;2;6;5
160609_1227;1;17;2;5;5;1;5;0
160609_1227;1;18;2;6;1;2;4;4
160609_1227;1;19;9;5;1;2;6;6
160609_1227;1;20;9;4;5;2;4;4
160609_1227;1;21;2;2;3;2;5;5
160609_1227;1;22;2;2;2;1;3;0
160609_1227;2;1;2;1;1;1;3;0
160609_1227;2;2;2;3;3;1;3;0
160609_1227;2;3;9;2;2;1;1;0
160609_1227;2;4;9;1;2;2;1;1
160609_1227;2;5;2;6;6;1;4;0
160609_1227;2;6;2;4;4;1;4;0
160609_1227;2;7;9;4;4;1;5;0
160609_1227;2;8;9;1;1;1;6;0
160609_1227;2;9;2;4;5;2;5;5
160609_1227;2;10;2;5;6;2;4;3
160609_1227;2;11;9;2;3;2;2;1
160609_1227;2;12;9;5;5;1;3;0
160609_1227;2;13;2;3;4;2;4;1
160609_1227;2;14;2;1;2;2;2;4
160609_1227;2;15;9;3;3;1;2;0
160609_1227;2;16;9;3;4;2;5;4
160609_1227;2;17;2;5;5;1;5;0
160609_1227;2;18;2;6;1;2;3;3
160609_1227;2;19;9;5;1;2;6;6
160609_1227;2;20;9;4;5;2;3;3
160609_1227;2;21;2;2;3;2;3;5
160609_1227;2;22;2;2;2;1;2;0
160609_1227;3;1;2;1;1;1;6;0
160609_1227;3;2;2;3;3;1;6;0
160609_1227;3;3;9;2;2;1;6;0
160609_1227;3;4;9;1;2;2;6;6
160609_1227;3;5;2;6;6;1;5;0
160609_1227;3;6;2;4;4;1;4;0
160609_1227;3;7;9;4;4;1;6;0
160609_1227;3;8;9;1;1;1;6;0
160609_1227;3;9;2;4;5;2;3;3
160609_1227;3;10;2;5;6;2;5;4
160609_1227;3;11;9;2;3;2;4;4
160609_1227;3;12;9;5;5;1;4;0
160609_1227;3;13;2;3;4;2;4;4
160609_1227;3;14;2;1;2;2;3;3
160609_1227;3;15;9;3;3;1;4;0
160609_1227;3;16;9;3;4;2;6;4
160609_1227;3;17;2;5;5;1;3;0
160609_1227;3;18;2;6;1;2;6;6
160609_1227;3;19;9;5;1;2;6;6
160609_1227;3;20;9;4;5;2;4;2
160609_1227;3;21;2;2;3;2;6;6
